post_title,town_name,postal_code,council_code,council_name,region_code,region_name
"Bjødstrup, 8660 Skanderborg",Bjødstrup,8660,0615,Horsens,1082,"Region Midtjylland"
"Voerladegård, 8660 Skanderborg",Voerladegård,8660,0615,Horsens,1082,"Region Midtjylland"
"Bøgild, 8620 Kjellerup",Bøgild,8620,0740,Silkeborg,1082,"Region Midtjylland"
"Engetved, 8653 Them",Engetved,8653,0740,Silkeborg,1082,"Region Midtjylland"
"Vrads, 7362 Hampen",Vrads,7362,0740,Silkeborg,1082,"Region Midtjylland"
"Vrads, 8654 Bryrup",Vrads,8654,0615,Horsens,1082,"Region Midtjylland"
"Jævndal, 8653 Them",Jævndal,8653,0740,Silkeborg,1082,"Region Midtjylland"
"Borup, 8600 Silkeborg",Borup,8600,0740,Silkeborg,1082,"Region Midtjylland"
"Impgård, 8620 Kjellerup",Impgård,8620,0740,Silkeborg,1082,"Region Midtjylland"
"Skannerup, 8883 Gjern",Skannerup,8883,0740,Silkeborg,1082,"Region Midtjylland"
"Hinge, 8620 Kjellerup",Hinge,8620,0740,Silkeborg,1082,"Region Midtjylland"
"Funderholme, 8600 Silkeborg",Funderholme,8600,0740,Silkeborg,1082,"Region Midtjylland"
"Marienlund Haveforening, 8600 Silkeborg","Marienlund Haveforening",8600,0740,Silkeborg,1082,"Region Midtjylland"
"Løndal, 8740 Brædstrup",Løndal,8740,0615,Horsens,1082,"Region Midtjylland"
"Nårup, 8883 Gjern",Nårup,8883,0740,Silkeborg,1082,"Region Midtjylland"
"Mørdrup, 3550 Slangerup",Mørdrup,3550,0201,Allerød,1084,"Region Hovedstaden"
"Ejby, 2600 Glostrup",Ejby,2600,0153,Brøndby,1084,"Region Hovedstaden"
"Danstrup, 3480 Fredensborg",Danstrup,3480,0210,Fredensborg,1084,"Region Hovedstaden"
"Danstrup, 3490 Kvistgård",Danstrup,3490,0210,Fredensborg,1084,"Region Hovedstaden"
"Hvam, 8620 Kjellerup",Hvam,8620,0740,Silkeborg,1082,"Region Midtjylland"
"Gelsted Mose, 5591 Gelsted","Gelsted Mose",5591,0410,Middelfart,1083,"Region Syddanmark"
"Karlebjerg, 5592 Ejby",Karlebjerg,5592,0410,Middelfart,1083,"Region Syddanmark"
"Ludvigsgårde, 5591 Gelsted",Ludvigsgårde,5591,0410,Middelfart,1083,"Region Syddanmark"
"Byllerup, 5580 Nørre Aaby",Byllerup,5580,0410,Middelfart,1083,"Region Syddanmark"
"Kielshøj, 5560 Aarup",Kielshøj,5560,0410,Middelfart,1083,"Region Syddanmark"
"Nakke, 5592 Ejby",Nakke,5592,0410,Middelfart,1083,"Region Syddanmark"
"Voldby Mark, 5500 Middelfart","Voldby Mark",5500,0410,Middelfart,1083,"Region Syddanmark"
"Ellekær, 5463 Harndrup",Ellekær,5463,0410,Middelfart,1083,"Region Syddanmark"
"Semb, 7790 Thyholm",Semb,7790,0671,Struer,1082,"Region Midtjylland"
"Hvidbjerg, 7790 Thyholm",Hvidbjerg,7790,0671,Struer,1082,"Region Midtjylland"
"Gimsing, 7560 Hjerm",Gimsing,7560,0661,Holstebro,1082,"Region Midtjylland"
"Gimsing, 7600 Struer",Gimsing,7600,0661,Holstebro,1082,"Region Midtjylland"
"Humlum, 7600 Struer",Humlum,7600,0661,Holstebro,1082,"Region Midtjylland"
"Humlum, 7620 Lemvig",Humlum,7620,0665,Lemvig,1082,"Region Midtjylland"
"Gamborg, 5500 Middelfart",Gamborg,5500,0410,Middelfart,1083,"Region Syddanmark"
"Sdr Åby, 5592 Ejby","Sdr Åby",5592,0410,Middelfart,1083,"Region Syddanmark"
"Skovløkke, 5580 Nørre Aaby",Skovløkke,5580,0410,Middelfart,1083,"Region Syddanmark"
"Reerslev, 2640 Hedehusene",Reerslev,2640,0169,Høje-Taastrup,1084,"Region Hovedstaden"
"Næsborg, 9670 Løgstør",Næsborg,9670,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Isenvad, 7430 Ikast",Isenvad,7430,0756,Ikast-Brande,1082,"Region Midtjylland"
"Kelddalgårde, 9240 Nibe",Kelddalgårde,9240,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Gedsted, 9631 Gedsted",Gedsted,9631,0791,Viborg,1082,"Region Midtjylland"
"Grættrup, 8766 Nørre Snede",Grættrup,8766,0756,Ikast-Brande,1082,"Region Midtjylland"
"Kornum, 9670 Løgstør",Kornum,9670,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Astrup, 8355 Solbjerg",Astrup,8355,0751,Aarhus,1082,"Region Midtjylland"
"Vansted, 9670 Løgstør",Vansted,9670,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Vansted, 9681 Ranum",Vansted,9681,0820,Vesthimmerlands,1081,"Region Nordjylland"
"L Ajstrup, 9240 Nibe","L Ajstrup",9240,0820,Vesthimmerlands,1081,"Region Nordjylland"
"L Ajstrup, 9600 Aars","L Ajstrup",9600,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Langkær, 7330 Brande",Langkær,7330,0630,Vejle,1083,"Region Syddanmark"
"Rønslunde, 7361 Ejstrupholm",Rønslunde,7361,0630,Vejle,1083,"Region Syddanmark"
"Framlev, 8462 Harlev J",Framlev,8462,0751,Aarhus,1082,"Region Midtjylland"
"Padkær, 9670 Løgstør",Padkær,9670,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Nordby, 7330 Brande",Nordby,7330,0630,Vejle,1083,"Region Syddanmark"
"Mustrup, 8320 Mårslet",Mustrup,8320,0751,Aarhus,1082,"Region Midtjylland"
"Skejby, 8200 Aarhus N",Skejby,8200,0751,Aarhus,1082,"Region Midtjylland"
"Skejby, 8240 Risskov",Skejby,8240,0751,Aarhus,1082,"Region Midtjylland"
"Bandsholm, 9600 Aars",Bandsholm,9600,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Malle Hedegd, 9670 Løgstør","Malle Hedegd",9670,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Lisbjerg, 8200 Aarhus N",Lisbjerg,8200,0751,Aarhus,1082,"Region Midtjylland"
"Lisbjerg, 8380 Trige",Lisbjerg,8380,0710,Favrskov,1082,"Region Midtjylland"
"Blære, 9600 Aars",Blære,9600,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Østergård, 8340 Malling",Østergård,8340,0727,Odder,1082,"Region Midtjylland"
"Ulstrup, 9600 Aars",Ulstrup,9600,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Nr Dalby, 4140 Borup","Nr Dalby",4140,0259,Køge,1085,"Region Sjælland"
"Fløjterup, 4682 Tureby",Fløjterup,4682,0259,Køge,1085,"Region Sjælland"
"Tulstrup, 8340 Malling",Tulstrup,8340,0727,Odder,1082,"Region Midtjylland"
"Skovvænget, 9620 Aalestrup",Skovvænget,9620,0791,Viborg,1082,"Region Midtjylland"
"Løgstør, 9670 Løgstør",Løgstør,9670,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Vedde, 4295 Stenlille",Vedde,4295,0316,Holbæk,1085,"Region Sjælland"
"Vorre, 8541 Skødstrup",Vorre,8541,0751,Aarhus,1082,"Region Midtjylland"
"Grårupgårde, 9600 Aars",Grårupgårde,9600,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Dybendal, 4190 Munke Bjergby",Dybendal,4190,0330,Slagelse,1085,"Region Sjælland"
"Svoldrup, 9640 Farsø",Svoldrup,9640,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Ågård, 9600 Aars",Ågård,9600,0820,Vesthimmerlands,1081,"Region Nordjylland"
"Vesterris, 9620 Aalestrup",Vesterris,9620,0791,Viborg,1082,"Region Midtjylland"
"Edslev, 8362 Hørning",Edslev,8362,0746,Skanderborg,1082,"Region Midtjylland"
"Tambohus, 7790 Thyholm",Tambohus,7790,0671,Struer,1082,"Region Midtjylland"
"Vindeby, 4913 Horslunde",Vindeby,4913,0360,Lolland,1085,"Region Sjælland"
"Trebjerg, 8762 Flemming",Trebjerg,8762,0615,Horsens,1082,"Region Midtjylland"
"Nebbelunde, 4970 Rødby",Nebbelunde,4970,0360,Lolland,1085,"Region Sjælland"
"Bjernæs, 4970 Rødby",Bjernæs,4970,0360,Lolland,1085,"Region Sjælland"
"Klakring, 7130 Juelsminde",Klakring,7130,0766,Hedensted,1082,"Region Midtjylland"
"Korning, 8700 Horsens",Korning,8700,0615,Horsens,1082,"Region Midtjylland"
"Korning, 8723 Løsning",Korning,8723,0766,Hedensted,1082,"Region Midtjylland"
"Østrup, 7130 Juelsminde",Østrup,7130,0766,Hedensted,1082,"Region Midtjylland"
"Munkeby, 4900 Nakskov",Munkeby,4900,0360,Lolland,1085,"Region Sjælland"
"Langø, 4900 Nakskov",Langø,4900,0360,Lolland,1085,"Region Sjælland"
"Assendrup, 7120 Vejle Øst",Assendrup,7120,0630,Vejle,1083,"Region Syddanmark"
"Asp, 7600 Struer",Asp,7600,0661,Holstebro,1082,"Region Midtjylland"
"Oddesund Syd, 7600 Struer","Oddesund Syd",7600,0661,Holstebro,1082,"Region Midtjylland"
"Ravnsborggård, 7130 Juelsminde",Ravnsborggård,7130,0766,Hedensted,1082,"Region Midtjylland"
"Ølholm, 7160 Tørring",Ølholm,7160,0630,Vejle,1083,"Region Syddanmark"
"Klippinge, 4672 Klippinge",Klippinge,4672,0336,Stevns,1085,"Region Sjælland"
"Valløby, 4600 Køge",Valløby,4600,0259,Køge,1085,"Region Sjælland"
"Laage, 7100 Vejle",Laage,7100,0630,Vejle,1083,"Region Syddanmark"
"Laage, 7160 Tørring",Laage,7160,0630,Vejle,1083,"Region Syddanmark"
"Overby, 7130 Juelsminde",Overby,7130,0766,Hedensted,1082,"Region Midtjylland"
"Linnerup, 7160 Tørring",Linnerup,7160,0630,Vejle,1083,"Region Syddanmark"
"Sandvad, 8766 Nørre Snede",Sandvad,8766,0756,Ikast-Brande,1082,"Region Midtjylland"
"Himlingøje, 4652 Hårlev",Himlingøje,4652,0320,Faxe,1085,"Region Sjælland"
"Frøslev, 4660 Store Heddinge",Frøslev,4660,0336,Stevns,1085,"Region Sjælland"
"Frøslev, 4673 Rødvig Stevns",Frøslev,4673,0336,Stevns,1085,"Region Sjælland"
"Hyldtofte Fl, 4970 Rødby","Hyldtofte Fl",4970,0360,Lolland,1085,"Region Sjælland"
"Hornborg, 8762 Flemming",Hornborg,8762,0615,Horsens,1082,"Region Midtjylland"
"Belle, 7140 Stouby",Belle,7140,0766,Hedensted,1082,"Region Midtjylland"
"Sdr Torp, 7130 Juelsminde","Sdr Torp",7130,0766,Hedensted,1082,"Region Midtjylland"
"Sdr Torp, 7150 Barrit","Sdr Torp",7150,0766,Hedensted,1082,"Region Midtjylland"
"Magleby, 4672 Klippinge",Magleby,4672,0336,Stevns,1085,"Region Sjælland"
"Løgballe, 7140 Stouby",Løgballe,7140,0766,Hedensted,1082,"Region Midtjylland"
"Hornum, 8783 Hornsyld",Hornum,8783,0615,Horsens,1082,"Region Midtjylland"
"Kragelund Fl, 8723 Løsning","Kragelund Fl",8723,0766,Hedensted,1082,"Region Midtjylland"
"Ø Snede, 8723 Løsning","Ø Snede",8723,0766,Hedensted,1082,"Region Midtjylland"
"Roslev By, 7870 Roslev","Roslev By",7870,0779,Skive,1082,"Region Midtjylland"
"Halskov, 7840 Højslev",Halskov,7840,0779,Skive,1082,"Region Midtjylland"
"Skoven, 3630 Jægerspris",Skoven,3630,0250,Frederikssund,1084,"Region Hovedstaden"
"Østerris, 7840 Højslev",Østerris,7840,0779,Skive,1082,"Region Midtjylland"
"Nr. Thise, 7870 Roslev","Nr. Thise",7870,0779,Skive,1082,"Region Midtjylland"
"Højslev K, 7840 Højslev","Højslev K",7840,0779,Skive,1082,"Region Midtjylland"
"Manderup, 4050 Skibby",Manderup,4050,0250,Frederikssund,1084,"Region Hovedstaden"
"Spøttrup Mark, 7860 Spøttrup","Spøttrup Mark",7860,0779,Skive,1082,"Region Midtjylland"
"Degnsgårde, 7840 Højslev",Degnsgårde,7840,0779,Skive,1082,"Region Midtjylland"
"Hesselbjerg, 4291 Ruds Vedby",Hesselbjerg,4291,0326,Kalundborg,1085,"Region Sjælland"
"Hesselbjerg, 4293 Dianalund",Hesselbjerg,4293,0326,Kalundborg,1085,"Region Sjælland"
"Dalby Strand, 4281 Gørlev","Dalby Strand",4281,0326,Kalundborg,1085,"Region Sjælland"
"Venslev, 3630 Jægerspris",Venslev,3630,0250,Frederikssund,1084,"Region Hovedstaden"
"Venslev, 4050 Skibby",Venslev,4050,0250,Frederikssund,1084,"Region Hovedstaden"
"Korsø, 9620 Aalestrup",Korsø,9620,0791,Viborg,1082,"Region Midtjylland"
"Veddum, 9560 Hadsund",Veddum,9560,0840,Rebild,1081,"Region Nordjylland"
"Ulstrup, 4281 Gørlev",Ulstrup,4281,0326,Kalundborg,1085,"Region Sjælland"
"Jørlunde, 3550 Slangerup",Jørlunde,3550,0201,Allerød,1084,"Region Hovedstaden"
"Dølby, 7800 Skive",Dølby,7800,0661,Holstebro,1082,"Region Midtjylland"
"Bustrup Mark, 7860 Spøttrup","Bustrup Mark",7860,0779,Skive,1082,"Region Midtjylland"
"Rønbjerg Kær, 7800 Skive","Rønbjerg Kær",7800,0661,Holstebro,1082,"Region Midtjylland"
"Gammel Hald, 7840 Højslev","Gammel Hald",7840,0779,Skive,1082,"Region Midtjylland"
"Selchausdal, 4291 Ruds Vedby",Selchausdal,4291,0326,Kalundborg,1085,"Region Sjælland"
"Kragerup, 4200 Slagelse",Kragerup,4200,0326,Kalundborg,1085,"Region Sjælland"
"Kragerup, 4291 Ruds Vedby",Kragerup,4291,0326,Kalundborg,1085,"Region Sjælland"
"Kragerup, 4293 Dianalund",Kragerup,4293,0326,Kalundborg,1085,"Region Sjælland"
"Tågerup, 4291 Ruds Vedby",Tågerup,4291,0326,Kalundborg,1085,"Region Sjælland"
"Vallekilde, 4534 Hørve",Vallekilde,4534,0306,Odsherred,1085,"Region Sjælland"
"Løve, 4270 Høng",Løve,4270,0326,Kalundborg,1085,"Region Sjælland"
"Torsmark, 7860 Spøttrup",Torsmark,7860,0779,Skive,1082,"Region Midtjylland"
"Estvad, 7800 Skive",Estvad,7800,0661,Holstebro,1082,"Region Midtjylland"
"Estvadg Mark, 7800 Skive","Estvadg Mark",7800,0661,Holstebro,1082,"Region Midtjylland"
"Gørlev Ornum, 4281 Gørlev","Gørlev Ornum",4281,0326,Kalundborg,1085,"Region Sjælland"
"Knudstrup, 4270 Høng",Knudstrup,4270,0326,Kalundborg,1085,"Region Sjælland"
"Tolstrup, 7800 Skive",Tolstrup,7800,0661,Holstebro,1082,"Region Midtjylland"
"Tøndering, 7870 Roslev",Tøndering,7870,0779,Skive,1082,"Region Midtjylland"
"Holmgård, 8990 Fårup",Holmgård,8990,0730,Randers,1082,"Region Midtjylland"
"S Onsild Kb, 9500 Hobro","S Onsild Kb",9500,0791,Viborg,1082,"Region Midtjylland"
"Kjellerup, 9550 Mariager",Kjellerup,9550,0730,Randers,1082,"Region Midtjylland"
"Kulby, 4270 Høng",Kulby,4270,0326,Kalundborg,1085,"Region Sjælland"
"Kulby, 4291 Ruds Vedby",Kulby,4291,0326,Kalundborg,1085,"Region Sjælland"
"Glerup, 9510 Arden",Glerup,9510,0840,Rebild,1081,"Region Nordjylland"
"Glerup, 9560 Hadsund",Glerup,9560,0840,Rebild,1081,"Region Nordjylland"
"Gundestrup, 8990 Fårup",Gundestrup,8990,0730,Randers,1082,"Region Midtjylland"
"Gundestrup, 9500 Hobro",Gundestrup,9500,0791,Viborg,1082,"Region Midtjylland"
"Glentehaven, 4270 Høng",Glentehaven,4270,0326,Kalundborg,1085,"Region Sjælland"
"Havnsø Str, 4591 Føllenslev","Havnsø Str",4591,0306,Odsherred,1085,"Region Sjælland"
"Bjerge Sydstrand, 4281 Gørlev","Bjerge Sydstrand",4281,0326,Kalundborg,1085,"Region Sjælland"
"Bjerge Sydstrand, 4480 Store Fuglede","Bjerge Sydstrand",4480,0326,Kalundborg,1085,"Region Sjælland"
"Nørager, 4291 Ruds Vedby",Nørager,4291,0326,Kalundborg,1085,"Region Sjælland"
"Forsinge, 4470 Svebølle",Forsinge,4470,0316,Holbæk,1085,"Region Sjælland"
"Forsinge, 4490 Jerslev Sjælland",Forsinge,4490,0326,Kalundborg,1085,"Region Sjælland"
"Nautrup, 7870 Roslev",Nautrup,7870,0779,Skive,1082,"Region Midtjylland"
"Gåsemose, 7870 Roslev",Gåsemose,7870,0779,Skive,1082,"Region Midtjylland"
"Kyndby, 3630 Jægerspris",Kyndby,3630,0250,Frederikssund,1084,"Region Hovedstaden"
"Over Draaby, 3630 Jægerspris","Over Draaby",3630,0250,Frederikssund,1084,"Region Hovedstaden"
"Sæbygård Feriecenter, 7870 Roslev","Sæbygård Feriecenter",7870,0779,Skive,1082,"Region Midtjylland"
"Trinnerup, 9510 Arden",Trinnerup,9510,0840,Rebild,1081,"Region Nordjylland"
"Bjerge By, 4480 Store Fuglede","Bjerge By",4480,0326,Kalundborg,1085,"Region Sjælland"
"Selsø, 4050 Skibby",Selsø,4050,0250,Frederikssund,1084,"Region Hovedstaden"
"Lille Rørbæk, 3600 Frederikssund","Lille Rørbæk",3600,0219,Hillerød,1084,"Region Hovedstaden"
"Ll Ramsing, 7860 Spøttrup","Ll Ramsing",7860,0779,Skive,1082,"Region Midtjylland"
"Øksenvad, 7800 Skive",Øksenvad,7800,0661,Holstebro,1082,"Region Midtjylland"
"Brøndum, 9500 Hobro",Brøndum,9500,0791,Viborg,1082,"Region Midtjylland"
"Viskinge, 4470 Svebølle",Viskinge,4470,0316,Holbæk,1085,"Region Sjælland"
"Dølbyvad, 7800 Skive",Dølbyvad,7800,0661,Holstebro,1082,"Region Midtjylland"
"Gandrup, 9500 Hobro",Gandrup,9500,0791,Viborg,1082,"Region Midtjylland"
"Gandrup, 9510 Arden",Gandrup,9510,0840,Rebild,1081,"Region Nordjylland"
"Børkop Skov, 7080 Børkop","Børkop Skov",7080,0630,Vejle,1083,"Region Syddanmark"
"Brøndsted, 7000 Fredericia",Brøndsted,7000,0607,Fredericia,1083,"Region Syddanmark"
"Øgelund, 7323 Give",Øgelund,7323,0630,Vejle,1083,"Region Syddanmark"
"Øgelund, 7330 Brande",Øgelund,7330,0630,Vejle,1083,"Region Syddanmark"
"Ålbæk, 7323 Give",Ålbæk,7323,0630,Vejle,1083,"Region Syddanmark"
"Grenen, 9500 Hobro",Grenen,9500,0791,Viborg,1082,"Region Midtjylland"
"Brejning, 7080 Børkop",Brejning,7080,0630,Vejle,1083,"Region Syddanmark"
"Lillearden, 9510 Arden",Lillearden,9510,0840,Rebild,1081,"Region Nordjylland"
"Kielstrup, 9500 Hobro",Kielstrup,9500,0791,Viborg,1082,"Region Midtjylland"
"Randbøldal, 7183 Randbøl",Randbøldal,7183,0630,Vejle,1083,"Region Syddanmark"
"Balle, 7182 Bredsten",Balle,7182,0630,Vejle,1083,"Region Syddanmark"
"Søndersthoved, 7323 Give",Søndersthoved,7323,0630,Vejle,1083,"Region Syddanmark"
"Stauerslund, 9500 Hobro",Stauerslund,9500,0791,Viborg,1082,"Region Midtjylland"
"Skelund, 9560 Hadsund",Skelund,9560,0840,Rebild,1081,"Region Nordjylland"
"Blaakærskov, 6040 Egtved",Blaakærskov,6040,0621,Kolding,1083,"Region Syddanmark"
"Blaakærskov, 7100 Vejle",Blaakærskov,7100,0630,Vejle,1083,"Region Syddanmark"
"Sødover, 7182 Bredsten",Sødover,7182,0630,Vejle,1083,"Region Syddanmark"
"Gravens, 6040 Egtved",Gravens,6040,0621,Kolding,1083,"Region Syddanmark"
"Oue Mark, 9500 Hobro","Oue Mark",9500,0791,Viborg,1082,"Region Midtjylland"
"Andkær, 7080 Børkop",Andkær,7080,0630,Vejle,1083,"Region Syddanmark"
"Andkær, 7100 Vejle",Andkær,7100,0630,Vejle,1083,"Region Syddanmark"
"Hjeds, 9500 Hobro",Hjeds,9500,0791,Viborg,1082,"Region Midtjylland"
"Bregnhoved, 7323 Give",Bregnhoved,7323,0630,Vejle,1083,"Region Syddanmark"
"Thise, 9700 Brønderslev",Thise,9700,0810,Brønderslev,1081,"Region Nordjylland"
"Thorup, 9320 Hjallerup",Thorup,9320,0810,Brønderslev,1081,"Region Nordjylland"
"Thorup, 9330 Dronninglund",Thorup,9330,0810,Brønderslev,1081,"Region Nordjylland"
"Dorf, 9330 Dronninglund",Dorf,9330,0810,Brønderslev,1081,"Region Nordjylland"
"Karls, 9500 Hobro",Karls,9500,0791,Viborg,1082,"Region Midtjylland"
"Sterup, 9740 Jerslev J",Sterup,9740,0810,Brønderslev,1081,"Region Nordjylland"
"Klæstrup, 9740 Jerslev J",Klæstrup,9740,0810,Brønderslev,1081,"Region Nordjylland"
"Harresø, 7300 Jelling",Harresø,7300,0630,Vejle,1083,"Region Syddanmark"
"Harresø, 7323 Give",Harresø,7323,0630,Vejle,1083,"Region Syddanmark"
"Idskov, 9330 Dronninglund",Idskov,9330,0810,Brønderslev,1081,"Region Nordjylland"
"Idskov, 9352 Dybvad",Idskov,9352,0810,Brønderslev,1081,"Region Nordjylland"
"Langelund, 7323 Give",Langelund,7323,0630,Vejle,1083,"Region Syddanmark"
"Hedegård, 7323 Give",Hedegård,7323,0630,Vejle,1083,"Region Syddanmark"
"Alsted Mark, 7173 Vonge","Alsted Mark",7173,0630,Vejle,1083,"Region Syddanmark"
"Stilbjerg, 7190 Billund",Stilbjerg,7190,0530,Billund,1083,"Region Syddanmark"
"Stilbjerg, 7323 Give",Stilbjerg,7323,0630,Vejle,1083,"Region Syddanmark"
"Håstrup, 7000 Fredericia",Håstrup,7000,0607,Fredericia,1083,"Region Syddanmark"
"Velgårde, 8766 Nørre Snede",Velgårde,8766,0756,Ikast-Brande,1082,"Region Midtjylland"
"Givskudlund, 7323 Give",Givskudlund,7323,0630,Vejle,1083,"Region Syddanmark"
"Thyregod, 7323 Give",Thyregod,7323,0630,Vejle,1083,"Region Syddanmark"
"Bøllund, 7323 Give",Bøllund,7323,0630,Vejle,1083,"Region Syddanmark"
"Flauenskjold, 9330 Dronninglund",Flauenskjold,9330,0810,Brønderslev,1081,"Region Nordjylland"
